bench,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
matmul,2113.8562198728323,2.0120290338578757,1245.893243079384,0.12402720229466982,1118.3284534250988,0.08768831547516046,1.6966591893926377,2.01584810439579,1.890192647248432,2.0139389448932974,99.640859089894
nbody,150.0717510126139,0.017273480143246,64.67713873488788,0.05734156126509847,58.61635044944357,0.31091074757225806,2.320321429613008,0.05988679123628311,2.5602370304860647,0.3113902151195498,99.78926423535981
nqueens,271.3211891010846,0.035777421203055264,253.2210958557665,0.33801671994419036,61.43785905100898,0.19822353725543382,1.0714794049214125,0.33990487909085687,4.416188866148792,0.2014263999330703,94.6108097541339
optcarrot,7714.998070709407,0.41551638555694753,2349.258920364082,0.41880152995690517,2041.3588659837842,0.808823107700771,3.2840135260670875,0.5899564290356996,3.7793443373766364,0.9093122050302872,99.49147823012785
protoboeuf,167.22400030669044,0.30636246595948313,54.50048056189661,0.38248119362782523,45.286277531891876,0.49655324170467513,3.068303225634366,0.49005083820736534,3.692597612796207,0.5834578668560371,99.98816151851787
rack,64.19734213517482,0.8039451744176811,39.068094454705715,1.1163067711639545,35.19928532336217,1.05061714731045,1.6432166203960406,1.375670255117835,1.823825158534293,1.322922610620978,99.8718194176425
ruby-json,4334.556190297008,0.043275411657938,3778.34893502295,0.08196996762646797,3732.115365564823,0.7377038927964696,1.147209075932178,0.09269216173360185,1.1614207401761307,0.738972120381567,99.98261065328848
rubykon,14148.79127535969,1.0461052566126334,7524.58128426224,1.5323157278277328,6661.298359371722,0.8244509628206437,1.880342671684878,1.8553510982185601,2.124029057406486,1.3319367845391425,99.9479339949478
sudoku,2286.28996796906,0.06311917492893389,839.2034276890067,0.03534794373407245,731.2799300998449,0.061187098270346435,2.7243572804093894,0.07234298424820826,3.1264224189181595,0.08790842529845697,99.71182871511726
tinygql,925.9187077050624,0.09038864443849537,548.2035191936625,0.13363232573819445,494.5704774456281,0.11066627731465731,1.6890054063625326,0.16133104327942482,1.8721673652808273,0.14288852990395473,99.98271919980702
30k_ifelse,2502.2380482405424,0.10169873925449198,359.8758286663464,0.08104298659959679,359.91393655006374,0.08288808118598451,6.953059496975707,0.13004075992909134,6.9523233032474785,0.1311985806655221,99.93971679568534
30k_methods,6804.966321587563,0.06921525557646664,836.9240437705929,0.027118561998555692,841.0684890471972,0.03255095701190621,8.130924630781493,0.0743382002027565,8.090858723403793,0.07648736109257896,99.97607186631251
cfunc_itself,119.53643686234703,0.2764854779131244,26.80286401503496,6.719246562372343,24.44621113388131,8.494920056888185,4.459838202189644,6.72493260824593,4.889773560724717,8.499418273765446,95.09501748023887
fib,255.44540275371185,0.03752062919250486,48.0190418902936,0.18441405176704437,47.83219484533982,0.042940839114685776,5.319668879219073,0.18819229554936504,5.340449117580046,0.05702379572489696,99.99385965556692
getivar,147.30480970987648,0.024606766717150966,22.60010304870973,49.05021354580663,21.551958337324894,70.44177915375214,6.51788221462496,49.05021971798087,6.834868897030379,70.44178345157765,75.47243257530165
keyword_args,308.9218217964199,0.106773739519052,40.94271919069191,5.2037308287864015,31.26266170785856,7.325077768504966,7.545219953701841,5.204826142140858,9.881494566368469,7.325855919010185,96.25191415874376
respond_to,300.9170403911008,1.0899727172065838,17.197870371294105,7.635745287300994,13.831392553486156,11.844807128252322,17.497343211365152,7.713147646505545,21.756091386131303,11.894851677501142,95.319469523998
ruby-xor,806.1798372572022,0.07508812081911902,288.46076380540717,0.23133893033417163,180.34284310356068,0.09773190121081496,2.7947642744267407,0.2432199140208411,4.470262436720368,0.12324670544248681,99.99229526951683
setivar,86.43592407475033,0.14770610673835058,12.456360511731909,41.59729065427531,8.27835047331808,69.52054658040224,6.939099425818758,41.597552895215216,10.441201342385979,69.52070349134742,84.9868654693334
setivar_object,122.8287445500176,0.3157319431867414,61.17301616596721,36.15990084331136,39.586280448236685,34.36764936538626,2.0078909337537576,36.1612792314937,3.1028109526640013,34.36909963269452,81.63271776084026
setivar_young,122.70165979862213,0.33354124335494834,59.28541113310771,28.117000810242025,39.48443904212473,34.65091467158109,2.069677133943326,28.118979076847182,3.1075953660558664,34.65251992767932,81.63271814384431
str_concat,92.93469696784743,0.8952981079387677,46.18713144848417,1.3441313095170588,46.293929779791156,1.235424779588802,2.0121339873965582,1.615007021440706,2.007492070988895,1.5257237915496953,99.89154558134294
throw,32.19198753325968,0.20033455949532727,25.57448809606088,0.2663046483504289,25.69309313056125,0.28941995099806467,1.2587539352632462,0.3332448071031751,1.252943247030392,0.3519912552378382,99.98271261457279
