bench,No JIT (ms),No JIT RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
ruby-json,4358.117394708097,0.10190842961241642,3774.8176282271743,0.03190800767382461,3822.0768347382545,0.21933659392619967,1.1545239595468528,0.10678693262652357,1.1402485044512591,0.24185505878772817,99.98260439439538
rubykon,13885.651171393692,0.6191818440090955,7379.058245383203,1.1276987593534973,6736.409118026495,0.8365051841796849,1.8817646791284535,1.2865032638116085,2.061283827645796,1.0407339136926366,99.94793340782212
sudoku,2215.5611826106906,0.03839048456093209,839.266694867267,0.03981328060077344,747.2551501666507,0.037683930315922036,2.6398774026903205,0.05530756383189452,2.9649326366189417,0.05379505468793979,99.71182768443089
tinygql,916.0847450080125,0.06052198326322815,546.9008716030253,0.13065488536291373,486.776271297668,0.13055655821182052,1.6750471476172082,0.1439916995083765,1.8819420728251122,0.14390248555960022,99.98270998295651
30k_ifelse,2507.4120085686445,0.11492582284607578,359.6697425286115,0.08428245965436157,359.44549619619335,0.0850714508313862,6.9714288195070555,0.1425183418449593,6.975778066781071,0.1429863507591006,99.93971119059896
30k_methods,6800.509822554886,0.02764690311074094,836.7073903433405,0.030743494506980877,833.736424262707,0.04337457050720463,8.127703783952853,0.04134626592711197,8.156666333210449,0.05143641334987464,99.97606817435218
cfunc_itself,114.22331125398163,0.1297546666033242,26.807870808651373,6.863582439752727,24.432916641419773,8.092470072427197,4.260812507986265,6.864808823324021,4.674976505275067,8.09351024875086,95.09501121819302
fib,255.86778780928364,0.13110260067299231,47.96605117546467,0.22536314201665647,47.82568375522747,0.042224529231787114,5.334351724583151,0.2607229136129806,5.350007939642193,0.1377345373247688,99.99385477735547
getivar,135.9068611062957,0.17076485075522718,22.532758500583924,49.42818565916365,21.365616769209716,64.2102391029029,6.031523441871254,49.42848063809978,6.361008089509166,64.21046617402972,76.04634583345012
keyword_args,295.6611616132052,0.06081048584302367,40.90671172822812,5.192577296575289,31.26340975206365,7.33239527808837,7.227693185839257,5.192933361415069,9.457099016324955,7.3326474365894,96.25190931541508
respond_to,301.5694715289606,0.2541663304943543,17.19898126963321,7.799372239093634,13.823646776423226,11.233896629578169,17.53414733123853,7.803512532667671,21.815478679858863,11.236771511764609,95.31946353438643
ruby-xor,773.0531033513874,0.05168716913485825,288.3827384917977,0.20328400089071258,198.09160769825252,0.08735571760698722,2.6806497066861543,0.2097521119591187,3.902503050654008,0.10150164950288808,99.9922900507644
setivar,74.88855558073581,0.3413419522999342,12.467004847811891,42.594542624652114,8.209774257588032,59.166939971192676,6.006940439577967,42.59591031697416,9.121877560947393,59.167924586579154,85.19483368889296
setivar_object,109.24931656358378,0.45390675577348694,61.17515919445935,36.14596041440794,40.18510869290266,28.389176205198158,1.7858444179329331,36.14881029332615,2.7186517622354716,28.392804668660794,81.78919712021529
setivar_young,109.1607096763152,0.6729358608600482,57.63281521920911,29.937069450244934,39.036585691707984,29.116979619996943,1.8940721403443044,29.944631738286915,2.7963692967006266,29.124754846421432,81.78919750068631
str_concat,91.57170820395527,0.8590177175889327,46.28669487773718,1.3188702191255637,46.598885681374405,1.123763597763,1.9783591903858124,1.5739536505335894,1.9651051063771794,1.4144808456776434,99.89154052683134
throw,31.148751112056477,0.1769971725616839,25.59515535703214,0.2642766709699476,25.612364548760212,0.21698841799884544,1.216978396011123,0.3180725670563063,1.216160696633699,0.2800213788989551,99.98286501264266
