bench,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
optcarrot,5022.3698754,0.14897992045943578,4998.999083399576,0.14998440918891576,1596.1561844999778,0.9937607514101646,1596.3231581000173,0.9266926166488033,1.0046750942759786,0.21140089805828152,3.1465403725346213,1.004865885451086,3.1462112479641946,0.9385916164400286,99.51664385138739
protoboeuf,128.8743154912246,0.09268139965454186,128.10108672609044,0.06804917743875548,33.94672707802391,0.09303392488104087,33.95155328725799,0.08923548713882079,1.0060360827912997,0.11498057397672069,3.796369387688451,0.13132080193440818,3.7958297342346072,0.12865773978594355,99.99140004784394
protoboeuf-encode,118.8524220685776,3.0645412766284337,118.71040364110652,3.2349047655275065,35.581854079546616,2.404162239706448,35.56050813887455,2.3484659831552475,1.001196343564802,4.456009658673554,3.340253765384786,3.8950493335758605,3.3422588227486205,3.860920319068599,99.98938785206902
rack,56.30117834277826,0.48250965255009465,55.7352219831635,0.32463551608849756,37.4522261211698,0.3180006084373125,36.79397099215957,0.40487149817929247,1.0101543752671465,0.5815529065442441,1.5032798894417152,0.577875377369995,1.53017401559553,0.6298702206343445,99.88786375882826
ruby-json,244.16891340678052,0.13770111171161606,244.6284936525375,0.08428554315290127,204.2960127937664,0.31719602999031943,204.31198094846283,1.1669677808702528,0.998121313511378,0.16144859538315762,1.1951721918981608,0.34579606361009174,1.1950787823273639,1.1750639973022141,99.98121690821266
rubyboy,4512.766581699952,0.8589202323579594,4476.572107400352,0.19916712200102946,1597.5040510997133,0.07347397882390197,1602.747954600136,0.09617398981843737,1.0080853102398968,0.8817094238126436,2.824885845261793,0.8620570695250206,2.8156433260436304,0.8642878003717557,99.99874806982479
rubykon,839.5943224193381,1.4721245965541183,838.7378494194749,1.5229215360305846,459.7407614000076,1.1888703962302183,461.8793346664461,1.7299745029288376,1.001021145046043,2.1181220060906267,1.8262342452790052,1.8922377352785833,1.8177784962508992,2.2715551079741614,99.95720893342562
sudoku,463.3664827500373,0.15472326653030435,464.9418896834504,0.23487035552721824,135.5214252456343,0.04323252510841835,135.54593363738465,0.04595844923815314,0.9966116046577654,0.28125321884609517,3.4191382057130792,0.16064974457825204,3.4185199829723043,0.16140467236788253,99.68439371479062
tinygql,526.1520001509814,0.06161449243707353,522.7601745094437,0.058794362354042624,250.24878050003932,0.08939290993741592,250.67755255707067,0.063987226021871,1.0064883015327641,0.08516526711574769,2.102515740934445,0.10856996834003935,2.0989194875404515,0.08882967281405577,99.99457750474265
30k_ifelse,662.892848146329,0.2273572640214261,655.0738154146418,0.08960535551003783,140.95218253594174,0.05407011944752372,141.08000769280716,0.05227713362408618,1.0119361094088886,0.24437766927317378,4.702962637540546,0.23369831689675885,4.698701531047096,0.2332900002213104,99.9515076518364
